id;dart;x;y;z
1;4605;1.25;0;0
2;191;1.24;0.00;-0.16
3;105;1.21;0.12;-0.16
4;4523;1.22;0.12;0.00
5;113;1.12;0.22;-0.15
6;4531;1.12;0.22;0.00
7;121;0.99;0.25;-0.13
8;4539;1.00;0.25;0.00
9;129;0.87;0.22;-0.11
10;4547;0.88;0.22;0.00
11;137;0.78;0.12;-0.10
12;4555;0.78;0.12;0.00
13;145;0.74;0.00;-0.10
14;4563;0.75;0.00;0.00
15;153;0.78;-0.12;-0.10
16;4571;0.78;-0.12;-0.00
17;161;0.87;-0.22;-0.11
18;4579;0.88;-0.22;-0.00
19;169;0.99;-0.25;-0.13
20;4587;1.00;-0.25;-0.00
21;177;1.12;-0.22;-0.15
22;4595;1.12;-0.22;-0.00
23;185;1.21;-0.12;-0.16
24;4603;1.22;-0.12;-0.00
25;287;1.21;0.00;-0.32
26;201;1.18;0.12;-0.31
27;209;1.09;0.22;-0.29
28;217;0.97;0.25;-0.26
29;225;0.85;0.22;-0.23
30;233;0.76;0.12;-0.20
31;241;0.72;0.00;-0.19
32;249;0.76;-0.12;-0.20
33;257;0.85;-0.22;-0.23
34;265;0.97;-0.25;-0.26
35;273;1.09;-0.22;-0.29
36;281;1.18;-0.12;-0.31
37;383;1.15;0.00;-0.48
38;297;1.12;0.12;-0.47
39;305;1.04;0.22;-0.43
40;313;0.92;0.25;-0.38
41;321;0.81;0.22;-0.33
42;329;0.72;0.12;-0.30
43;337;0.69;0.00;-0.29
44;345;0.72;-0.12;-0.30
45;353;0.81;-0.22;-0.33
46;361;0.92;-0.25;-0.38
47;369;1.04;-0.22;-0.43
48;377;1.12;-0.12;-0.47
49;479;1.08;0.00;-0.62
50;393;1.05;0.12;-0.61
51;401;0.97;0.22;-0.56
52;409;0.87;0.25;-0.50
53;417;0.76;0.22;-0.44
54;425;0.68;0.12;-0.39
55;433;0.65;0.00;-0.38
56;441;0.68;-0.12;-0.39
57;449;0.76;-0.22;-0.44
58;457;0.87;-0.25;-0.50
59;465;0.97;-0.22;-0.56
60;473;1.05;-0.12;-0.61
61;575;0.99;0.00;-0.76
62;489;0.97;0.12;-0.74
63;497;0.89;0.22;-0.68
64;505;0.79;0.25;-0.61
65;513;0.69;0.22;-0.53
66;521;0.62;0.12;-0.48
67;529;0.60;0.00;-0.46
68;537;0.62;-0.12;-0.48
69;545;0.69;-0.22;-0.53
70;553;0.79;-0.25;-0.61
71;561;0.89;-0.22;-0.68
72;569;0.97;-0.12;-0.74
73;671;0.88;0.00;-0.88
74;585;0.86;0.12;-0.86
75;593;0.80;0.22;-0.80
76;601;0.71;0.25;-0.71
77;609;0.62;0.22;-0.62
78;617;0.55;0.12;-0.55
79;625;0.53;0.00;-0.53
80;633;0.55;-0.12;-0.55
81;641;0.62;-0.22;-0.62
82;649;0.71;-0.25;-0.71
83;657;0.80;-0.22;-0.80
84;665;0.86;-0.12;-0.86
85;767;0.76;0.00;-0.99
86;681;0.74;0.12;-0.97
87;689;0.68;0.22;-0.89
88;697;0.61;0.25;-0.79
89;705;0.53;0.22;-0.69
90;713;0.48;0.12;-0.62
91;721;0.46;0.00;-0.60
92;729;0.48;-0.12;-0.62
93;737;0.53;-0.22;-0.69
